#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-11-13T17:19:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5a09d332b64d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJ/835/74&tab:{J/ApJ/835/74/table1}&key:source=J/ApJ/835/74&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/835/74/table1
#-order=I
#-out=Seq
#-out=Name
#-out=z
#NED=NED
#

#RESOURCE=yCat_18350074
#Name: J/ApJ/835/74
#Title: IR photometry of AGNs in Swift/BAT 70 month cat. (Ichikawa+, 2017)
#Table	J_ApJ_835_74_table1:
#Name: J/ApJ/835/74/table1
#Title: IR and 14-195keV X-ray properties of the Swift/BAT 70-month AGN catalog
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq	(I4)	Sequence No. of the Swift/BAT 70 month catalog	[ucd=meta.id;meta.main]
#Column	Name	(a24)	Object name	[ucd=meta.id]
#Column	z	(F11.5)	[0.001/0.7]? Redshift	[ucd=src.redshift]
_RAJ2000	_DEJ2000	Seq	Name	z
196.3410	-49.4720	 655	NGC 4945                	    0.00190
196.6630	-40.4040	 657	ESO 323-077             	    0.01500
196.6630	-40.4040	 658	ESO 323- G 081          	    0.01590
197.2830	+11.6170	 659	NGC 4992                	    0.02510
197.7560	+08.6130	 662	2MASX J13105723+0837387 	    0.05270
198.3000	-11.1220	 663	II SZ 010               	    0.03400
198.4060	+36.8260	 665	NGC 5033                	    0.00290
198.8530	+44.4000	 666	UGC 08327 NED02         	    0.03660
200.2980	+08.9860	 669	NGC 5100 NED02          	    0.03190
200.6220	-16.7480	 670	MCG -03-34-064          	    0.01650
202.7870	-25.4020	 674	ESO 509- G 038          	    0.02600
203.0470	-77.8810	 676	ESO 021- G 004          	    0.00980
203.3640	-34.0200	 677	ESO 383-18              	    0.01300
203.9600	+02.9900	 679	NGC 5231                	    0.02180
203.9640	-34.2950	 680	MCG -06-30-015          	    0.00770
204.5800	+04.5440	 682	NGC 5252                	    0.02300
205.2760	-14.6380	 683	2MASX J13411287-1438407 	    0.04180
205.2850	+67.7100	 684	NGC 5283                	    0.01040
205.4790	+35.6230	 686	NGC 5273                	    0.00350
206.0900	+19.5520	 687	CGCG 102-048            	    0.02690
206.3270	+41.7050	 688	NGC 5290                	    0.00860
206.6040	+19.4060	 689	2MASX J13462846+1922432 	    0.08400
206.7190	+73.4290	 690	2MASSi J1346085+732053  	    0.29000
206.9370	+02.2050	 693	SWIFT J1347.7+0212      	    0.10970
207.3230	-30.3260	 694	IC 4329A                	    0.01600
207.4450	+02.0990	 695	UM 614                  	    0.03270
207.9000	-18.2330	 696	2MASX J13512953-1813468 	    0.01220
208.2880	+69.3130	 697	Mrk 279                 	    0.03040
208.4160	-11.3690	 698	2MASX J13532820-1123055 	    0.06880
208.5300	-37.8070	 699	TOLOLO 00113            	    0.05200
208.9310	+35.4040	 701	2MASX J13553383+3520573 	    0.10160
208.9780	+38.5630	 702	Mrk 464                 	    0.05010
208.9840	+18.3710	 703	Mrk 463                 	    0.05040
209.1670	-19.4980	 704	ESO 578- G 009          	    0.03500
212.0300	-30.4150	 707	2MASX J14080674-3023537 	    0.02350
212.7000	-42.4830	 710	2MASX J14104482-4228325 	    0.03390
213.3080	-03.2360	 712	NGC 5506                	    0.00620
214.1860	-11.9590	 713	2MASX J14165001-1158577 	    0.09860
214.2330	-46.6590	 714	IGR J14175-4641         	    0.07660
214.3710	+61.6780	 715	2MASX J14174289+6141523 	    0.11880
214.4970	+25.1270	 717	NGC 5548                	    0.01720
214.8390	-26.6630	 719	ESO 511-G030            	    0.02240
215.3860	+47.8230	 722	SBS 1419+480            	    0.07230
216.1090	+24.6180	 723	NGC 5610                	    0.01690
216.8670	+19.8200	 726	Mrk 813                 	    0.11050
217.3010	+01.3030	 728	Mrk 1383                	    0.08650
217.7730	+28.3060	 730	Mrk 684                 	    0.04610
218.1930	-44.2070	 731	NGC 5643                	    0.00400
218.4880	+05.4630	 733	NGC 5674                	    0.02490
218.7300	+48.6580	 734	NGC 5683                	    0.03620
219.0680	+58.8090	 735	Mrk 817                 	    0.03140
219.1980	-16.2660	 736	2MASX J14364961-1613410 	    0.14450
219.7850	+14.3020	 737	2MASX J14391186+1415215 	    0.07140
220.1560	+53.4950	 738	Mrk 477                 	    0.03770
220.6130	-17.2700	 739	NGC 5728                	    0.00930
221.4220	+27.0440	 740	CGCG 164-019            	    0.02990
222.1670	-40.1570	 744	IGR 14488-4008          	    0.12300
223.2890	+25.8970	 748	2MASX J14530794+2554327 	    0.04900
224.4370	-43.1400	 751	IC 4518A                	    0.01630
226.0170	+10.4270	 753	Mrk 841                 	    0.03640
226.5590	+03.7540	 754	Mrk 1392                	    0.03610
226.5590	+03.7540	 755	2MASX J15064412+0351444 	    0.03770
227.2080	-00.2210	 757	Mrk 1393                	    0.05430
228.0100	-21.3220	 760	2MASX J15115979-2119015 	    0.04460
228.6400	-81.3620	 765	2MASX J15144217-8123377 	    0.06840
228.7880	+42.0530	 766	NGC 5899                	    0.00860
229.9020	+65.6370	 767	CGCG 319-007            	    0.04400
230.4210	+03.6140	 769	2MASS J15213967+0337292 	    0.12640
230.8710	+63.6740	 770	4C +63.22               	    0.20400
232.4740	-13.0340	 771	2MASX J15295830-1300397 	    0.10390
233.3510	-08.6990	 772	MCG -01-40-001          	    0.02270
233.9960	+57.9160	 774	Mrk 290                 	    0.02960
235.5930	-14.1790	 776	2MASX J15422399-1411055 	    0.09640
236.5880	+69.5040	 778	2MASX J15462424+6929102 	    0.03800
236.8670	+20.8380	 779	3C 323.1                	    0.26400
237.1110	-13.7500	 783	NGC 5995                	    0.02520
238.4040	+23.7920	 785	4C +23.42               	    0.11500
238.4580	+26.1060	 786	SDSS J155334.73+261441.4	    0.16640
241.7820	+48.5770	 793	2MASX J16071388+4833266 	    0.12500
242.2010	+84.9980	 794	LEDA 100168             	    0.18300
243.5090	+65.7390	 797	Mrk 876                 	    0.12900
244.4530	+32.3790	 800	3C 332                  	    0.15100
244.9750	+81.0690	 804	CGCG 367-009            	    0.02740
246.8890	+85.5330	 810	VII Zw 653              	    0.06310
247.0130	+51.7740	 811	Mrk 1498                	    0.05470
247.4720	+67.3740	 815	Mrk 885                 	    0.02530
247.6320	+39.4250	 816	2MASX J16303265+3923031 	    0.03060
247.8650	+23.9060	 817	2MASX J16311554+2352577 	    0.05900
250.7210	+70.6430	 828	NGC 6232                	    0.01480
252.6670	+04.5790	 836	LEDA 214543             	    0.03210
253.0540	+55.8990	 839	UGC 10593               	    0.02910
253.2670	+02.4070	 841	NGC 6240                	    0.02450
253.2950	+23.8040	 842	2MASX J16531506+2349431 	    0.10340
257.1760	+21.8990	 862	2MASX J17085915+2153082 	    0.07230
259.2710	-62.8130	 875	NGC 6300                	    0.00370
260.4450	+43.2310	 880	RBS 1640                	    0.13700
260.8040	+34.2950	 882	4C +34.47               	    0.20600
260.9150	+36.4900	 883	2MASX J17232321+3630097 	    0.04000
262.8060	+14.7330	 888	2MASX J17311341+1442561 	    0.08265
264.4750	-59.9660	 898	ESO 139- G 012          	    0.01700
265.5630	+18.5430	 907	4C +18.51               	    0.18600
265.9000	+62.8590	 909	CGCG 300-062            	    0.03300
266.4450	+29.1460	 912	1RXS J174538.1+290823   	    0.11060
266.9420	+68.6210	 924	Mrk 507                 	    0.05590
270.0690	+66.6160	 942	NGC 6552                	    0.02650
271.9450	+11.3690	 950	2MASX J18074992+1120494 	    0.08000
273.9870	+42.6140	 960	UGC 11185 NED02         	    0.04120
275.4020	+64.3320	 967	H 1821+643              	    0.29700
275.4140	+59.8910	 968	2MASX J18212680+5955209 	    0.09900
276.0650	-56.3860	 970	IC 4709                 	    0.01690
276.0850	+18.7790	 971	2MASX J18241083+1846088 	    0.06700
276.6570	+32.8810	 978	2MASX J18263239+3251300 	    0.02200
278.7660	+32.6880	 984	3C 382                  	    0.05790
279.2820	-59.4200	 986	Fairall 49              	    0.02020
279.5650	-65.4350	 988	ESO 103-035             	    0.01330
280.6400	+79.7750	 994	3C 390.3                	    0.05610
281.1580	-62.3680	 995	Fairall 51              	    0.01420
281.4730	+72.2180	 998	CGCG 341-006            	    0.04630
282.0120	-78.5260	1002	2MASX J18470283-7831494 	    0.07410
283.4850	-78.9030	1009	ESO 025- G 002          	    0.02890
284.2050	-54.6960	1015	2MASX J18564935-5442298 	    0.05630
284.3290	-78.5070	1016	2MASX J18570768-7828212 	    0.04200
285.9850	+33.8150	1020	UGC 11397               	    0.01510
286.3440	+42.5150	1021	CGCG 229-015            	    0.02790
288.2840	-50.1550	1027	ESO 231- G 026          	    0.06250
289.8390	-29.9650	1031	PKS 1916-300            	    0.16680
290.2900	-58.7070	1032	ESO 141- G 055          	    0.03600
291.6620	+41.5620	1037	2MASX J19263018+4133053 	    0.07100
294.3810	-06.2230	1042	2MASX J19373299-0613046 	    0.01030
294.5440	-51.1730	1043	2MASX J19380437-5109497 	    0.04000
295.1110	-30.2540	1045	IGR J19405-3016         	    0.05200
295.6480	-10.3380	1046	NGC 6814                	    0.00520
298.0580	+02.5020	1051	3C 403                  	    0.05900
300.2390	-18.1540	1060	2MASX J20005575-1810274 	    0.03730
301.6150	+56.3460	1062	2MASX J20063331+5620364 	    0.04300
301.7530	-34.5440	1063	MCG-06-44-018           	    0.02500
302.2430	-61.0840	1064	NGC 6860                	    0.01490
304.4750	-55.6410	1072	PKS 2014-55             	    0.06000
306.7860	-02.3190	1076	II Zw 083               	    0.02910
307.6950	-75.4960	1079	IRAS 20247-7542         	    0.11430
308.3670	+21.7850	1082	4C +21.55               	    0.17350
308.9480	-50.2140	1085	ESO 234- G 050          	    0.00880
310.0110	-51.4180	1087	ESO 234-IG 063          	    0.05370
310.6180	+75.1190	1088	4C +74.26               	    0.10400
311.0610	-10.7280	1090	Mrk 509                 	    0.03440
312.9800	-57.0670	1092	IC 5063                 	    0.01140
315.6150	-28.1830	1097	ESO 464- G016           	    0.03640
317.2870	-09.6980	1099	2MASX J21090996-0940147 	    0.02650
318.4930	+82.0950	1102	2MASX J21140128+8204483 	    0.08400
319.0980	+25.2200	1104	2MASX J21161028+2517010 	    0.15300
319.8600	+33.5270	1106	2MASX J21192912+3332566 	    0.05070
320.9570	+25.0950	1108	3C 433                  	    0.10160
323.0300	-33.7090	1114	6dF J2132022-334254     	    0.02930
323.7180	-27.4810	1116	2MASX J21344509-2725557 	    0.06700
324.0710	-62.3970	1118	1RXS J213623.1-622400   	    0.05880
324.2590	-64.6160	1119	IRAS F21329-6451        	    0.07040
324.4490	-14.5540	1120	PKS 2135-14             	    0.20030
324.6980	+32.0670	1121	CGCG 493-002            	    0.02480
326.4170	+11.0480	1125	RX J2145.5+1102         	    0.20900
327.0840	-34.8970	1127	NGC 7130                	    0.01620
327.5950	-18.9850	1128	6dF J2149581-185924     	    0.15810
329.3060	-69.7010	1131	PKS 2153-69             	    0.02830
329.3700	-06.2230	1132	EUVE J2157-06.1         	    0.17600
330.5000	-31.8710	1135	NGC 7172                	    0.00870
331.0590	+03.5540	1138	2MASX J22041914+0333511 	    0.06110
331.8130	+10.2170	1139	NGC 7212 NED02          	    0.02670
332.2510	-27.8010	1141	NGC 7214                	    0.02310
333.5510	-25.9350	1145	2MASX J22140917-2557487 	    0.05190
334.2510	+14.2240	1146	Mrk 304                 	    0.06580
335.9370	+11.8530	1150	MCG +02-57-002          	    0.02900
335.9730	-02.1310	1151	3C 445                  	    0.05620
336.7590	+36.3560	1152	MCG +06-49-019          	    0.02130
338.7120	-25.6950	1156	ESO 533- G 050          	    0.02640
338.9640	-26.0590	1157	NGC 7314                	    0.00480
339.0120	+33.9960	1158	NGC 7319                	    0.02250
339.1420	+25.7510	1160	IC 5233                 	    0.02460
339.2210	-12.5680	1161	Mrk 915                 	    0.02410
340.0570	+08.0170	1162	MCG +01-57-016          	    0.02500
340.6120	-37.1170	1163	ESO 406- G 004          	    0.02900
341.4350	+39.6850	1165	3C 452                  	    0.08110
342.1690	-51.1530	1166	2MASX J22484165-5109338 	    0.10000
342.1820	+17.4210	1167	2MASX J22484430+1727034 	    0.08600
342.6870	-08.8800	1168	2MASX J22505170-0854572 	    0.06490
343.5160	-17.5780	1172	MR 2251-178             	    0.06400
343.5580	+11.7580	1173	UGC 12243               	    0.02830
343.5580	+11.7580	1174	UGC 12237               	    0.02830
344.1210	+05.4360	1176	2MASX J22563642+0525167 	    0.06600
344.7040	+40.9200	1177	UGC 12282               	    0.01700
344.8840	+24.9330	1178	KAZ 320                 	    0.03450
345.3560	-59.2680	1179	2MASX J23013626-5913210 	    0.14900
345.5130	+15.9470	1180	NGC 7465                	    0.00660
345.8000	+08.8830	1182	NGC 7469                	    0.01630
346.1720	-08.6770	1183	Mrk 926                 	    0.04690
346.2280	+12.3300	1184	NGC 7479                	    0.00790
346.7980	+04.5760	1185	PG 2304+042             	    0.04200
346.9690	+22.7120	1186	SWIFT J2307.9+2245      	    0.03500
347.0230	+40.2630	1187	2MASX J23075724+4016393 	    0.07400
349.5880	-42.3840	1188	NGC 7582                	    0.00520
349.7370	+00.2680	1189	NGC 7603                	    0.02950
350.6430	-06.7590	1192	2MASX J23222444-0645375 	    0.03300
351.3670	-38.4490	1194	LCRS B232242.2-384320   	    0.03590
351.4660	+21.8670	1195	2MASX J23255427+2153142 	    0.12000
352.2790	+03.5060	1198	NGC 7679                	    0.01710
355.4800	+30.5830	1202	UGC 12741               	    0.01740
355.9700	+05.5550	1203	2MASX J23435956+0538233 	    0.05600
356.1860	-42.7560	1204	2MASX J23444387-4243124 	    0.59750
357.9690	-01.1500	1206	PKS 2349-01             	    0.17400
359.8130	-60.9600	1210	PKS 2356-61             	    0.09630
